score_quartile,customer_count,average_rsf_score,average_annual_premium,average_duration_years,average_observed_value,total_observed_value,event_rate,event_rate_percentage
Q1,3750,78.63151645711262,994.6290495541333,12.125753502167465,12118.10627984805,45442898.54943019,0.0832,8.32
Q2,3750,104.77917989298503,920.941268496,10.344242026009583,9547.23800117972,35802142.504423946,0.0856,8.559999999999999
Q3,3751,124.80472488220263,917.1499508739003,9.237489578412218,8466.843512005815,31759130.01353381,0.08557717941882165,8.557717941882165
Q4,3749,171.84997446666117,881.3843180640171,7.451205879404939,6433.67798825856,24119858.77798134,0.08028807682048546,8.028807682048546
